GeneID	Riboseq_control_1	Riboseq_control_2	Riboseq_sample_1	Riboseq_sample_2	RNAseq_control_1	RNAseq_control_2	RNAseq_control_3	RNAseq_sample_1	RNAseq_sample_2	RNAseq_sample_3
AZIN1-AS1	0	0	18	0	8	22	3	15	2	3
AZIN2	0	0	0	0	26	44	19	58	39	16
AZU1	0	0	1	0	8	21	2	5	8	1
B2M	4	14	44	60	1869	1869	1378	2151	2367	2376
B3GALNT1	0	8	0	0	74	87	66	99	120	154
B3GALNT2	0	36	8	30	744	650	335	770	662	525
B3GALT1	0	0	0	0	7	12	0	0	2	9
B3GALT1-AS1	0	0	0	0	0	2	1	0	2	2
B3GALT2	0	0	0	0	0	2	0	2	4	4
B3GALT4	0	0	1	0	4	10	6	6	10	28
B3GALT5	0	0	0	0	14	14	10	31	8	21
B3GALT5-AS1	0	0	0	0	1	4	2	6	3	4
B3GALT6	0	26	35	24	1195	1185	580	671	845	1018
B3GAT1	6	5	8	8	159	179	75	113	136	124
B3GAT2	2	0	8	0	30	31	19	33	30	17
B3GAT3	8	24	30	22	522	639	163	301	409	275
B3GLCT	10	20	26	2	355	360	249	338	358	397
B3GNT10	2	4	0	0	129	115	79	110	111	95
B3GNT2	38	14	0	78	435	394	307	291	378	407
B3GNT3	0	0	0	0	6	3	4	10	14	4
B3GNT4	24	0	14	0	89	70	25	52	58	11
B3GNT5	4	0	0	2	409	354	296	417	623	463
B3GNT6	0	0	0	0	2	0	0	0	0	0
B3GNT7	0	0	0	0	28	45	18	44	12	24
B3GNT8	0	0	0	0	22	20	2	20	3	4
B3GNT9	0	0	0	0	119	141	42	84	71	80
B3GNTL1	8	0	0	0	22	22	18	15	16	14
B4GALNT1	0	0	9	2	170	172	96	186	250	120
B4GALNT2	0	0	0	0	4	9	0	10	10	1
B4GALNT3	10	6	37	26	1388	1503	430	928	1016	685
B4GALNT4	0	7	18	16	472	516	125	275	294	141
B4GALT1	32	22	0	40	679	729	399	506	498	427
B4GALT1-AS1	0	0	0	0	4	2	0	2	1	0
B4GALT2	24	32	30	32	1156	1463	488	708	843	824
B4GALT3	0	28	16	88	617	683	287	415	458	458
B4GALT4	0	0	8	14	391	288	213	275	284	240
B4GALT4-AS1	0	0	0	0	0	0	0	0	0	0
B4GALT5	18	22	46	54	1067	931	383	794	770	804
B4GALT6	0	4	48	0	370	352	437	380	371	343
B4GALT7	2	0	20	0	227	209	83	112	124	156
B4GAT1	48	26	42	166	1006	1187	473	673	926	1065
B9D1	0	0	10	39	227	230	96	115	124	129
B9D2	0	0	0	16	50	47	17	25	33	51
BAALC	0	0	0	0	7	10	2	9	33	14
BAALC-AS1	0	0	0	0	0	0	0	1	2	1
BAALC-AS2	0	0	0	0	0	0	0	0	0	0
BAAT	0	0	0	0	8	6	2	1	10	5
BABAM1	30	16	80	74	1188	1259	471	641	711	600
BABAM2	16	0	0	18	226	246	134	159	183	175
BABAM2-AS1	0	0	0	0	17	25	7	12	16	4
BACE1	14	28	28	60	653	675	330	590	649	508
BACE1-AS	0	0	0	0	37	19	14	19	17	38
BACE2	0	6	6	28	898	834	427	547	612	624
BACH1	18	2	4	80	981	849	507	984	998	816
BACH1-IT2	0	0	0	0	1	0	0	0	3	1
BACH1-IT3	0	0	0	0	0	0	0	0	0	0
BACH2	6	0	40	8	294	268	146	320	305	241
BAD	0	20	42	0	187	347	88	188	145	258
BAG1	10	12	23	26	371	474	129	365	278	338
BAG2	41	4	16	22	436	348	329	353	398	430
BAG3	30	66	42	140	524	535	209	562	584	544
BAG4	25	4	0	6	359	303	213	468	452	504
BAG5	37	0	15	4	1495	1391	828	1533	1362	1145
BAG6	364	298	247	411	2951	2999	1089	2403	2464	2417
BAGE	0	0	0	0	0	0	0	0	0	0
BAGE2	0	0	0	0	0	0	0	0	0	0
BAGE3	0	0	0	0	0	0	0	0	0	0
BAGE4	0	0	0	0	0	0	0	0	0	0
BAGE5	0	0	0	0	0	0	0	0	0	0
BAHCC1	82	44	24	29	729	734	395	698	779	796
BAHD1	14	42	24	38	786	842	336	536	641	537
BAIAP2	0	12	10	18	258	303	151	118	130	141
BAIAP2-DT	8	7	0	0	407	488	202	318	323	338
BAIAP2L1	32	38	94	0	815	874	358	750	719	578
BAIAP2L2	0	0	0	0	69	67	28	33	40	12
BAIAP3	0	0	0	0	20	22	11	31	24	16
BAK1	6	4	36	43	778	766	327	521	506	577
BAMBI	20	4	6	120	687	801	364	443	351	583
BANCR	0	0	0	0	0	0	0	0	0	0
BANF1	128	41	148	258	1676	1912	523	1154	978	1292
BANF2	0	0	0	0	0	0	0	0	0	0
BANK1	0	0	0	0	6	4	2	0	6	2
BANP	20	20	28	16	294	290	115	131	175	145
BAP1	39	48	76	14	1495	1472	571	1029	1006	1084
BARD1	20	12	0	58	403	285	266	475	454	396
BARHL1	0	0	0	2	2	4	0	0	0	0
BARHL2	0	18	0	0	193	239	59	80	99	82
BARX1	0	0	0	0	50	70	9	35	31	33
BARX1-DT	0	0	0	0	2	2	0	4	1	0
BARX2	6	2	6	20	288	315	136	260	283	211
BASP1	116	70	94	216	3855	4543	2621	2757	2587	3416
BASP1-AS1	0	0	0	0	23	28	9	18	25	4
BASP1P1	0	4	2	21	39	51	18	18	18	32
BATF	0	0	0	0	0	0	0	0	0	0
BATF2	0	0	0	0	9	10	1	16	13	4
BATF3	10	0	8	0	254	320	77	203	181	230
BAX	66	100	75	172	1271	1367	460	595	589	965
BAZ1A	47	26	64	24	2712	2405	1499	2547	2267	1994
BAZ1B	185	127	256	192	5589	5187	2218	6137	5278	4704
BAZ2A	90	124	170	98	3948	3980	1614	3183	3064	2687
BAZ2B	12	6	1	44	460	366	289	599	534	353
BBC3	14	52	42	74	802	950	289	537	620	458
BBIP1	2	0	0	20	247	261	160	342	317	250
BBOF1	0	0	0	0	12	14	8	40	35	37
BBOX1	0	0	0	0	0	0	1	0	1	0
BBOX1-AS1	0	0	0	0	2	3	3	3	5	0
BBS1	16	8	8	0	197	195	74	173	117	89
BBS10	0	0	0	0	545	506	332	548	553	432
BBS12	0	6	0	0	65	40	26	55	51	53
BBS2	18	44	32	13	396	292	231	500	434	393
BBS4	33	6	31	20	328	238	160	292	292	190
BBS5	0	6	14	0	181	165	100	176	141	161
BBS7	26	18	12	40	302	306	222	402	347	333
BBS9	0	0	28	7	165	106	58	123	108	96
BBX	46	14	14	118	1960	1679	1222	2005	1861	1679
BCAM	10	40	28	95	444	597	224	263	412	345
BCAN	9	10	0	0	111	137	29	65	45	55
BCAP29	0	0	0	0	10	15	5	8	15	11
BCAP31	38	68	212	128	5780	7097	2171	3390	3207	3858
BCAR1	60	26	81	95	561	577	198	376	321	363
BCAR3	0	26	32	16	118	117	87	94	99	81
BCAR3-AS1	0	0	0	0	0	0	0	6	4	2
BCAR4	0	0	0	0	0	0	0	1	0	0
BCAS1	0	0	0	0	3	0	0	2	0	0
BCAS2	38	44	18	4	298	242	208	585	516	469
BCAS3	16	10	8	12	275	290	116	307	363	217
BCAS4	0	0	0	0	119	111	80	90	59	100
BCAT1	20	2	14	50	1161	1006	610	2030	1825	1311
BCAT2	64	69	42	186	1119	1137	442	781	708	721
BCCIP	10	16	82	75	2742	2571	1191	1983	1782	1823
BCDIN3D	6	8	30	0	217	228	121	165	132	157
BCDIN3D-AS1	0	0	0	0	33	32	15	33	37	30
BCHE	2	10	0	0	68	49	12	93	84	21
BCKDHA	8	26	91	150	807	910	288	411	416	422
BCKDHB	21	12	0	0	224	246	130	178	227	206
BCKDK	0	18	26	62	387	356	221	198	254	227
BCL10	0	2	6	8	120	126	96	128	156	140
BCL11A	4	14	28	90	421	532	228	400	408	259
BCL11B	0	1	35	24	132	136	76	89	122	58
BCL2	4	1	2	16	303	238	207	301	288	190
BCL2A1	0	0	0	0	0	0	0	0	4	6
BCL2L1	0	0	28	0	167	211	125	58	103	98
BCL2L10	0	0	0	0	6	0	0	0	2	0
BCL2L11	6	6	10	0	807	857	547	812	818	851
BCL2L12	18	16	70	70	938	1050	345	754	858	704
BCL2L13	32	0	29	46	1319	1236	609	948	1066	681
BCL2L14	0	0	0	0	1	2	0	1	4	0
BCL2L15	0	0	0	0	7	14	2	15	2	13
BCL2L2	0	0	26	0	1335	1562	537	984	1018	739
BCL2L2-PABPN1	0	0	0	0	0	0	0	0	0	0
BCL3	0	4	0	0	44	68	31	29	37	34
BCL6	10	6	0	0	172	145	76	152	102	84
BCL6B	0	0	0	0	8	6	10	7	9	2
BCL7A	2	14	14	30	1820	1879	883	854	917	848
BCL7B	0	10	10	0	307	252	169	177	187	162
BCL7C	0	0	8	36	202	189	91	121	137	199
BCL9	22	12	30	18	641	676	341	583	535	493
BCL9L	2	42	0	8	217	227	112	162	140	188
BCLAF1	39	90	108	100	3590	3147	2048	4483	4529	3823
BCLAF3	0	0	0	0	216	208	109	248	218	184
BCO1	0	0	0	0	5	12	4	20	10	13
BCO2	0	0	0	0	6	9	10	33	18	10
BCOR	130	144	248	315	3138	3316	1500	2036	1741	1414
BCORL1	34	48	35	113	1057	1192	416	836	809	871
BCORP1	0	0	0	0	0	0	0	0	0	0
BCR	54	24	24	90	1160	1309	462	735	611	671
BCRP2	0	0	0	12	43	77	26	39	42	21
BCRP3	0	0	0	0	7	13	1	3	13	10
BCS1L	42	20	0	4	1332	1134	509	888	814	797
BCYRN1	0	0	0	0	27743	32265	3122	19827	22046	23799
BDH1	0	0	0	0	61	65	30	57	58	68
BDH2	0	0	8	8	91	77	52	60	109	66
BDKRB1	0	0	0	0	0	5	0	6	0	0
BDKRB2	0	0	0	0	32	11	4	26	31	24
BDNF	6	9	0	0	23	28	15	16	17	23
BDNF-AS	0	0	0	0	16	13	4	34	11	5
BDP1	38	18	14	52	1950	1601	986	2473	2101	1435
BEAN1	0	0	0	0	27	25	8	9	12	5
BEAN1-AS1	0	0	0	0	2	3	0	6	5	0
BECN1	50	54	100	76	1074	952	319	616	484	466
BECN2	0	0	0	0	0	0	0	3	4	0
BEGAIN	0	0	0	0	78	63	22	54	47	46
BEND2	0	0	0	0	0	0	0	0	0	0
BEND3	26	6	12	2	456	369	220	378	281	332
BEND3P3	0	10	4	0	437	444	128	334	328	176
BEND4	32	7	4	50	822	841	484	903	868	670
BEND5	12	0	0	0	6	21	7	19	10	17
BEND6	9	0	0	8	67	60	45	67	46	53
BEND7	2	22	0	14	301	302	159	257	259	247
BEST1	0	0	0	0	86	78	13	86	121	29
BEST2	0	0	0	0	14	10	3	11	4	1
BEST3	0	0	0	0	4	4	6	4	3	0
BEST4	0	0	0	0	5	23	6	6	12	6
BET1	11	4	2	22	393	351	298	399	406	387
BET1L	10	4	0	14	376	390	152	238	240	250
BEX1	0	0	19	98	431	433	118	414	397	327
BEX2	12	16	18	111	716	745	298	703	757	626
BEX3	145	102	334	437	4611	4504	1925	2899	2953	3416
BEX4	12	16	18	22	701	703	325	630	542	760
BEX5	0	0	0	0	2	2	0	2	2	0
BFAR	34	0	14	52	992	947	553	743	711	833
BFSP1	1	2	0	0	129	147	30	150	127	83
BFSP2	0	0	0	0	1	0	0	0	0	0
BFSP2-AS1	0	0	0	0	0	0	0	1	0	0
BGLAP	0	0	0	0	6	2	0	0	1	2
BGLT3	0	0	0	0	0	0	0	0	0	0
BGN	0	0	0	0	0	0	0	0	0	4
BHLHA15	0	0	0	0	22	15	16	4	26	24
BHLHA9	0	0	0	0	0	0	0	0	0	0
BHLHB9	0	0	0	0	3	0	0	2	0	0
BHLHE22	16	7	4	10	186	157	103	72	62	95
BHLHE23	0	0	0	0	0	0	0	0	0	0
BHLHE40	54	28	94	182	1386	1944	611	1194	1227	652
BHLHE40-AS1	0	0	0	0	13	25	5	29	24	5
BHLHE41	12	8	22	66	428	430	193	459	387	250
BHMG1	0	0	10	0	2	9	0	0	2	3
BHMT	0	0	0	0	9	6	3	1	0	0
BHMT2	0	0	0	0	0	0	0	0	0	0
BICC1	11	30	14	18	259	234	141	374	312	291
BICD1	14	12	42	46	618	592	342	617	624	363
BICD2	6	10	52	72	1534	1553	743	757	768	566
BICDL1	0	0	0	0	122	109	30	66	76	51
BICDL2	0	0	0	0	7	7	1	1	1	0
BICRA	18	14	22	40	268	360	130	139	146	154
BICRAL	10	0	0	0	158	152	77	183	160	196
BID	28	0	0	58	439	484	193	277	330	357
BIK	0	0	12	0	32	23	12	25	40	43
BIN1	4	16	0	0	69	66	24	43	51	32
BIN2	0	0	0	0	5	0	0	0	4	2
BIN3	0	0	0	0	127	141	53	76	47	48
BIN3-IT1	0	0	0	0	6	2	4	2	8	6
BIRC2	2	0	0	14	524	416	314	581	510	461
BIRC3	0	0	0	0	66	36	47	72	93	52
BIRC5	50	22	110	122	3117	3229	1586	2689	2717	2520
BIRC6	58	108	32	55	1574	1382	845	1714	1596	1491
BIRC6-AS2	0	0	0	0	3	2	0	3	10	2
BIRC7	4	0	3	5	0	0	0	0	0	0
BIRC8	0	0	0	0	2	0	0	0	0	2
BISPR	0	0	0	0	9	6	6	11	11	6
BIVM	10	8	0	36	403	332	268	493	417	316
BIVM-ERCC5	0	0	0	0	0	0	0	0	0	0
BLACAT1	0	0	0	0	0	2	0	0	0	0
BLACE	0	0	0	0	0	0	0	1	0	0
BLCAP	0	20	26	0	638	653	261	404	471	549
BLID	0	0	0	0	0	0	0	0	0	0
BLK	0	0	0	0	14	8	2	4	10	1
BLM	44	18	4	0	1222	1023	609	1585	1379	955
BLMH	240	132	235	214	2204	2319	1073	1725	1683	1596
BLNK	0	0	0	0	4	0	3	4	4	0
BLOC1S1	4	0	0	20	240	261	95	264	271	279
BLOC1S1-RDH5	0	0	0	0	0	0	0	0	0	0
BLOC1S2	4	32	54	8	800	718	478	1051	1046	899
BLOC1S3	1	2	18	14	636	705	301	296	308	302
BLOC1S4	6	6	0	6	453	468	173	239	205	297
BLOC1S5	0	0	0	0	1	0	1	0	0	0
BLOC1S5-TXNDC5	0	0	0	0	0	0	0	0	0	0
BLOC1S6	14	26	12	12	711	612	499	836	565	597
BLVRA	0	6	72	58	898	824	432	745	624	746
BLVRB	2	21	24	126	568	641	210	427	495	409
BLZF1	0	6	0	41	271	334	179	374	433	324
BMERB1	6	0	0	0	32	19	7	19	19	25
BMF	16	16	38	0	503	515	318	702	627	737
BMI1	62	36	121	2	550	618	162	225	240	279
BMP1	0	6	0	26	325	350	124	219	190	219
BMP10	0	0	0	0	0	0	0	2	0	0
BMP15	0	0	0	0	0	0	0	0	0	0
BMP2	16	4	40	34	271	334	235	156	147	148
BMP2K	7	8	0	2	166	134	62	108	169	154
BMP3	12	6	32	42	175	133	149	162	231	141
BMP4	2	0	0	10	97	115	48	122	103	118
BMP5	0	0	0	0	0	0	0	0	6	0
BMP6	58	42	74	84	723	914	351	324	367	288
BMP7	17	40	46	0	577	745	322	505	423	436
BMP7-AS1	0	0	0	0	0	1	0	0	0	0
BMP8A	0	8	0	0	268	260	84	210	244	98
BMP8B	8	6	22	0	334	382	159	260	275	270
BMPER	0	0	0	0	8	16	3	20	11	15
BMPR1A	20	2	24	40	317	321	205	280	276	240
BMPR1B	0	0	14	0	190	180	105	172	246	179
BMPR1B-DT	0	0	0	0	1	4	1	1	4	7
BMPR2	44	14	36	78	815	876	489	1205	1010	918
BMS1	32	38	80	141	4051	4020	1700	2412	2075	1648
BMS1P1	4	0	12	14	276	256	97	411	335	200
BMS1P14	6	12	2	16	21	21	9	15	30	41
BMS1P17	0	0	0	0	0	0	0	0	0	0
BMS1P18	0	0	0	0	0	0	0	0	0	0
BMS1P2	0	0	0	0	172	106	67	200	248	81
BMS1P2-AGAP9	0	0	0	0	60	51	9	47	30	52
BMS1P20	20	11	25	18	503	416	220	403	315	238
BMS1P21	12	0	8	0	17	9	4	8	13	6
BMS1P22	0	0	0	0	9	8	0	4	3	3
BMS1P4	0	0	0	0	18	25	6	10	17	10
BMS1P4-AGAP5	2	0	2	0	65	51	9	70	58	49
BMT2	13	50	8	42	235	234	163	323	309	348
BMX	0	0	0	0	0	0	0	0	0	0
BNC1	24	0	52	0	66	68	46	111	67	87
BNC2	0	6	0	42	172	186	154	187	227	192
BNC2-AS1	0	0	0	8	14	7	2	2	4	8
BNIP1	0	0	0	0	197	202	110	169	213	180
BNIP2	44	44	34	72	582	532	485	622	559	559
BNIP3	80	24	26	48	310	317	227	621	650	315
BNIP3L	82	22	16	98	323	343	261	585	553	487
BNIP5	0	0	0	0	11	2	3	3	0	6
BNIPL	0	0	0	0	74	69	23	41	48	25
BOC	4	4	18	0	166	174	48	98	88	77
BOD1	4	8	70	62	1472	1475	601	1225	1060	875
BOD1L1	50	66	50	60	2240	2046	930	2255	1948	1358
BOD1L2	0	0	0	8	190	179	88	119	113	130
BOK	0	0	0	0	139	131	66	69	71	69
BOK-AS1	0	0	0	0	4	0	0	1	0	4
BOLA1	48	8	8	31	249	323	98	217	216	153
BOLA2	0	0	0	0	22	22	4	12	6	12
BOLA2-SMG1P6	0	0	0	0	96	76	48	57	61	52
BOLA2B	0	0	0	0	0	0	0	0	0	0
BOLA3	2	10	6	16	78	50	55	214	158	159
BOLA3-AS1	2	4	0	0	337	461	155	267	301	198
BOLL	0	0	0	0	10	13	5	7	21	10
BOP1	20	64	222	278	2275	2516	734	1010	991	1262
BORA	0	0	0	0	62	61	54	71	51	46
BORCS5	16	14	12	26	205	205	94	100	127	127
BORCS6	0	6	0	52	216	220	75	134	128	158
BORCS7	0	0	0	0	108	96	83	188	178	207
BORCS7-ASMT	0	0	0	0	1	4	2	0	4	3
BORCS8	0	0	0	0	90	79	35	59	62	94
BORCS8-MEF2B	0	0	0	0	0	0	0	0	0	0
BPESC1	0	0	0	0	0	0	0	0	0	0
BPGM	0	10	18	10	406	425	291	369	389	435
BPHL	4	0	0	44	247	243	105	175	199	243
BPI	0	0	0	0	0	0	0	0	0	0
BPIFA1	0	0	0	0	0	0	0	0	0	0
BPIFA2	0	0	0	0	0	0	0	0	0	0
BPIFA3	0	0	0	0	0	0	0	0	0	0
BPIFA4P	0	0	0	0	0	1	0	0	0	0
BPIFB1	0	0	0	0	0	0	1	0	0	1
BPIFB2	0	0	0	0	0	0	0	0	0	0
BPIFB3	0	0	0	0	0	0	0	0	0	0
BPIFB4	0	0	0	0	0	0	0	0	0	0
BPIFB6	0	0	0	0	0	0	0	0	0	0
BPIFC	0	0	0	0	0	0	1	0	0	2
BPNT1	22	14	8	42	580	598	283	494	446	549
BPTF	76	84	106	144	2848	2845	1365	2923	2379	1948
BPY2	0	0	0	0	0	0	0	0	0	0
BPY2B	0	0	0	0	0	0	0	0	0	0
BPY2C	0	0	0	0	0	0	0	0	0	0
BRAF	14	0	0	44	783	844	376	1141	1119	609
BRAP	18	16	6	22	771	661	250	720	647	576
BRAT1	14	24	106	90	567	701	291	405	453	414
BRCA1	6	32	48	33	1376	1159	540	1535	1277	914
BRCA2	20	2	20	70	282	234	173	321	281	228
BRCC3	8	22	20	54	420	401	289	489	473	523
BRD1	18	24	37	68	1310	1296	559	1101	1092	865
BRD2	546	536	740	1054	18327	21199	7404	14372	14120	10583
BRD3	64	24	32	186	1200	1219	615	1073	952	1024
BRD3OS	8	10	18	0	248	269	142	289	295	320
BRD4	112	237	178	255	1453	1713	428	971	986	770
BRD7	36	42	38	34	407	464	323	405	394	354
BRD7P3	0	0	0	0	1	0	8	4	2	0
BRD8	59	26	136	112	1755	1550	626	1798	1419	1387
BRD9	8	10	40	96	1221	1284	385	827	804	608
BRDT	0	0	0	0	0	1	0	1	1	0
BRDTP1	0	0	0	0	0	0	0	0	0	0
BRF1	2	14	44	17	489	509	212	253	296	315
BRF2	2	0	0	4	127	109	40	78	56	71
BRI3	6	14	22	80	695	740	365	528	605	513
BRI3BP	42	10	62	70	1300	1434	861	1222	1299	1286
BRICD5	0	0	0	0	77	68	48	53	48	49
BRINP1	0	1	0	0	0	1	0	0	0	0
BRINP2	2	0	0	0	51	47	31	48	44	58
BRINP3	0	0	0	0	0	0	0	0	0	0
BRIP1	44	8	0	64	628	466	375	825	772	642
BRIX1	116	78	186	258	1733	1674	832	1476	1353	1207
BRK1	32	6	48	56	2034	2256	990	1563	1378	1405
BRMS1	2	8	64	64	430	496	128	262	214	256
BRMS1L	4	10	2	22	209	196	127	341	313	397
BROX	30	42	18	32	535	461	297	582	482	417
BRPF1	0	14	8	88	1057	1162	327	470	475	352
BRPF3	28	20	26	28	878	846	317	1074	1013	1088
BRS3	0	0	0	0	4	0	0	0	2	2
BRSK1	2	0	0	8	654	667	171	532	610	348
BRSK2	2	6	5	25	101	91	28	93	62	29
BRWD1	42	44	76	112	2137	1869	1220	3348	3293	2047
BRWD1-AS1	0	0	0	0	5	2	0	1	3	2
BRWD1-AS2	4	0	0	0	23	31	4	10	10	7
BRWD3	32	22	12	14	1036	1000	484	1198	1229	845
BSCL2	8	4	0	0	46	45	12	36	36	29
BSDC1	8	12	6	58	1996	2012	797	1724	1755	1134
BSG	190	210	508	1154	14505	19327	4059	7088	7168	7003
BSN	0	2	0	0	120	147	27	104	108	47
BSN-DT	0	0	0	0	6	11	4	16	4	4
BSND	0	0	0	0	1	3	2	3	2	2
BSPH1	0	0	0	0	0	0	0	0	0	1
BSPRY	0	4	16	9	261	293	97	204	173	161
BST1	0	0	0	0	0	1	1	2	0	0
BST2	0	0	0	0	30	41	11	44	18	28
BSX	0	0	0	0	0	0	0	0	0	0
BTAF1	24	38	0	22	2423	2062	1216	2660	2437	1557
BTBD1	4	22	22	39	1518	1284	883	1713	1799	1603
BTBD10	0	8	44	34	173	166	103	194	193	206
BTBD11	5	16	17	0	218	230	139	152	142	105
BTBD16	0	0	0	0	0	1	1	3	0	1
BTBD17	0	0	0	0	1	1	0	0	2	0
BTBD18	0	0	0	0	8	2	0	7	5	2
BTBD19	0	0	0	0	38	43	7	45	53	24
BTBD2	14	8	53	62	1404	1776	569	792	895	862
BTBD3	18	38	0	93	896	812	622	931	959	1023
BTBD6	0	8	0	14	597	668	322	512	570	610
BTBD7	36	4	6	2	368	415	293	521	454	595
BTBD8	6	8	0	0	94	84	44	77	79	52
BTBD9	2	2	10	0	285	258	121	245	293	296
BTBD9-AS1	0	0	0	0	0	2	0	2	0	3
BTC	0	0	0	0	17	17	11	23	37	8
BTD	0	0	14	50	361	447	193	385	369	312
BTF3	268	228	609	624	5258	5550	3108	5877	6405	5259
BTF3L4	4	12	28	68	986	903	781	1029	962	934
BTF3P11	0	0	0	0	0	0	2	0	0	0
BTG1	30	50	88	94	1400	1543	843	1068	1011	811
BTG2	10	16	48	66	1812	1547	1053	1745	1588	1778
BTG3	28	20	70	60	784	850	784	918	1117	883
BTG3-AS1	0	4	0	0	95	115	54	88	78	94
BTG4	0	0	0	0	0	0	0	0	0	0
BTK	0	4	0	0	45	23	6	25	14	20
BTLA	0	0	0	0	8	0	0	2	2	0
BTN1A1	0	0	0	0	18	25	2	10	27	15
BTN2A1	26	16	4	10	1460	1337	553	1149	1107	957
BTN2A2	40	36	6	6	666	809	354	610	629	464
BTN2A3P	0	0	0	28	146	120	51	171	135	94
BTN3A1	0	0	8	0	572	491	177	407	418	279
BTN3A2	0	0	0	6	970	1031	504	718	747	560
BTN3A3	0	0	0	0	339	338	131	327	359	197
BTNL10	0	0	0	0	1	0	0	0	0	0
BTNL2	0	0	0	0	3	1	1	3	0	0
BTNL3	0	0	0	0	0	0	0	0	0	0
BTNL8	0	0	0	0	0	0	0	0	0	0
BTNL9	0	0	0	0	122	109	32	132	90	42
BTRC	24	28	54	38	698	567	372	767	667	663
BUB1	14	14	92	74	1090	980	748	1022	989	1162
BUB1B	36	54	14	87	2041	2024	996	1544	1464	1318
BUB1B-PAK6	0	0	0	0	1	1	0	0	0	0
BUB3	26	46	10	122	2610	2497	1527	2756	2598	2306
BUD13	2	24	22	22	267	257	174	289	268	146
BUD23	44	26	34	54	558	614	216	819	958	719
BUD31	36	12	36	36	658	463	154	612	498	320
BVES	2	0	0	0	314	396	227	539	442	426
BVES-AS1	0	0	0	0	11	1	4	5	6	8
BYSL	40	41	91	121	1873	2097	680	983	991	1042
BZW1	52	34	64	82	977	859	866	999	1095	1124
BZW1-AS1	0	0	0	0	2	1	0	1	0	1
BZW2	18	14	8	102	758	887	507	749	711	757
C10orf105	0	0	0	0	6	5	2	4	14	2
C10orf120	0	0	0	0	0	0	0	0	0	0
C10orf126	0	0	0	0	0	0	0	0	0	0
C10orf142	0	0	0	0	2	0	0	0	2	0
C10orf143	1	4	0	0	15	21	5	20	9	10
C10orf53	1	0	1	0	0	0	0	0	0	0
C10orf55	0	0	0	0	5	0	6	2	2	2
C10orf62	4	0	0	0	0	0	2	0	0	4
C10orf67	0	0	0	0	1	3	0	3	0	2
C10orf71	0	0	0	0	0	0	0	6	6	0
C10orf71-AS1	0	0	0	0	0	2	0	0	0	0
C10orf82	0	2	0	0	25	19	3	21	16	11
C10orf88	0	8	4	4	375	335	192	390	313	282
C10orf90	0	0	0	0	0	0	0	0	0	0
C10orf95	0	0	0	0	88	119	24	49	56	56
C10orf99	0	0	0	0	0	2	0	1	0	0
C11orf1	18	6	22	2	86	100	68	86	102	67
C11orf16	0	0	0	0	4	4	0	1	6	0
C11orf21	0	0	0	0	0	1	0	0	0	0
C11orf24	4	12	5	14	366	404	150	154	189	223
C11orf42	0	0	0	0	4	14	0	10	7	4
C11orf45	0	0	0	0	81	79	26	63	66	49
C11orf49	2	10	0	8	212	176	60	134	92	97
C11orf52	0	0	0	0	0	0	0	0	0	0
C11orf53	0	0	0	0	0	0	0	0	0	0
C11orf54	2	8	2	12	310	239	121	323	271	208
C11orf58	89	66	102	234	1984	1871	1186	1938	2002	1808
C11orf65	0	0	0	6	15	15	3	11	11	2
C11orf68	0	0	0	34	279	312	108	129	100	121
C11orf71	0	0	8	0	142	124	87	114	102	108
C11orf72	0	0	0	0	6	8	0	0	0	2
C11orf80	2	10	4	6	73	98	31	44	80	62
C11orf86	0	0	0	0	0	0	0	0	0	0
C11orf87	0	0	0	0	0	0	0	0	0	0
C11orf88	0	0	0	0	2	0	0	0	0	0
C11orf91	2	0	0	0	5	4	4	2	2	0
C11orf94	0	0	0	0	1	2	6	1	0	0
C11orf95	7	6	3	3	678	710	317	493	486	471
C11orf96	36	6	30	35	323	429	128	109	145	110
C11orf97	0	0	0	0	0	0	0	2	0	0
C11orf98	10	10	0	28	36	30	13	32	19	23
C12orf10	6	8	22	70	970	1134	317	563	481	496
C12orf29	0	24	36	14	356	312	192	349	379	307
C12orf4	14	0	0	0	247	266	114	348	335	320
C12orf40	0	0	0	1	0	0	0	0	0	0
C12orf42	0	0	0	0	0	0	0	0	0	0
C12orf43	20	4	0	12	573	617	255	431	350	326
C12orf45	0	0	12	0	467	386	219	440	351	339
C12orf49	4	2	44	80	1446	1682	747	1208	1188	1271
C12orf50	0	0	0	0	0	2	0	2	4	1
C12orf54	0	0	0	0	0	0	0	0	0	0
C12orf56	0	0	0	0	0	3	0	0	1	0
C12orf57	30	32	102	116	2436	2916	805	2084	2183	2133
C12orf60	0	0	0	0	59	52	41	55	24	29
C12orf65	0	10	18	20	420	298	193	334	287	335
C12orf66	0	10	12	18	411	312	211	303	274	207
C12orf71	0	0	0	0	0	0	0	0	4	0
C12orf73	12	12	52	28	385	401	199	306	264	286
C12orf74	0	0	0	0	0	0	0	0	0	0
C12orf75	68	90	8	72	614	552	422	575	634	623
C12orf76	4	0	8	28	325	308	136	224	166	143
C12orf77	0	0	0	0	0	0	0	0	0	0
C13orf42	0	0	0	0	0	0	0	0	0	0
C13orf46	0	0	0	0	3	2	1	1	0	0
C14orf119	20	6	6	66	687	581	345	550	594	462
C14orf132	0	12	0	0	609	630	347	603	545	450
C14orf177	0	0	0	0	0	0	0	0	0	0
C14orf178	0	0	0	0	5	9	1	6	2	0
